cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
light exposure,stress,oxidation,stability,induces,7,7,high,Fc mass spectra of the antibody exposed to light showed mainly peaks with a molecular weight (MW) increase of 32 Da.
buffer composition,formulation,fragmentation,stability,inhibits,7,5,high,but not in histidine-buffered solutions at identical ionic strengths
sucrose,formulation,aggregation,stability,modifies,7,7,high,"Extent of aggregation varied with the presence of cosolutes (sucrose, glycine, and Tween 80)."
ph,formulation,self-association,structure,modifies,7,7,high,increase in attractive PPI with increasing solution pH
light exposure,stress,methionine oxidation,sequence,oxidizes,7,5,high,Met256 and Met432 in the samples exposed to light ... were oxidized.
charge variants,sequence,basic variants,quality_outcome,induces,7,7,high,identified the presence of... C-terminal lysine... Basic variants have been fully accounted for by the identified modifi
glycosylation pattern,sequence,higher-order structure,structure,correlates,7,6,medium,as a result of the loss or disruption of a significant number of inter-glycan contacts ... quaternary structural deforma
charge variants,quality_outcome,stability,stability,modifies,7,7,high,have gained considerable attention ... due to their potential influence on stability and biological activity.
buffer composition,formulation,solubility,stability,modifies,7,5,high,"""The influence of buffer composition... on the solubility of RIV9."""
asp isomerization,stability,binding affinity,quality_outcome,decreases,7,7,high,interaction of this MAb to [isoaspartyl99]-bGH(96-112) has been observed to have an apparent Km of 150 nM
polysorbate 80,formulation,particle formation,quality_outcome,prevents,7,6,high,PS80 ... reduced particle formation in UF/DF by factors of 15
amino acid sequence,sequence,pharmacokinetics,quality_outcome,modifies,7,6,high,"Tumor levels of the mutant were, respectively, 65%, 39%, and 36% of the tumor levels achieved with the parental chTNT-3 "
denaturation,stability,binding activity,quality_outcome,destabilizes,7,6,high,immunotoxin maintains a binding activity in denaturing condition of 6M GuHCl.
oligomerization,stability,aggregation,stability,promotes,7,7,medium,This enabled us to monitor ... the occurrence of aggregates; interpreted as swelling ... followed by dimerization.
glycosylation,sequence,stability,stability,modifies,7,6,high,Glycosylation seems to enhance solubility and stability of these therapeutics
ph,formulation,oligomerization,stability,promotes,7,6,high,dimer formation is optimal at pH 7.5-8.0
fragmentation,sequence,charge variants,quality_outcome,modifies,7,7,high,The resolved mAb charge variants (which most likely result from deamidation or partial truncation)
low ph,formulation,binding affinity,quality_outcome,modifies,7,6,high,Low pH (2.5) ... reduced the antibody binding constant below 6 x 10(5) L/mol
methionine oxidation,sequence,fcrn binding,structure,inhibits,7,3,high,oxidation of these Met residues impairs FcRn binding and consequently affects pharmacokinetics of therapeutic antibodies
immunogenicity,quality_outcome,hypersensitivity,quality_outcome,induces,7,6,high,While three cases experienced hypersensitivity reactions... related to NABs development
shear stress,stress,particle formation,quality_outcome,induces,7,7,high,500-nm diameter protein microparticles arising from shear stress on protein molecules
self-association,structure,liquid-liquid phase separation,stability,promotes,7,7,high,These results indicate that attractive protein-protein interaction in the heavy phase induces LLPS
aggregation,stability,developability,quality_outcome,correlates,7,7,high,aggregation issues prevented the engineering of an optimal development candidate.
ph,formulation,asp isomerization,stability,modifies,7,7,high,succinimide form existed as a stable intermediate with a half-life of approximately 3 h at ... pH 7.6
n-glycosylation,sequence,conformational stability,stability,stabilizes,7,5,high,different glycoforms of an IgG1 mAb prepared by deglycosylation ... differences in structural integrity and conformation
amino acid sequence,sequence,thermal stability,stability,stabilizes,7,7,high,Substitution of Glu6 with Gln in the heavy chain significantly improved the stability under high temperatures.
stress conditions,stress,biological activity,quality_outcome,decreases,7,7,high,structure and biological activity of a monoclonal IgG1 antibody produced at the outer limits... were identical
glycan,structure,glycosylation pattern,sequence,correlates,7,7,high,"The biantennary structures were present as completely sialylated nonfucosylated species and as asialo-, agalacto-, and p"
methionine oxidation,sequence,stability,stability,destabilizes,7,7,high,Oxidation of methionine residues in biopharmaceuticals ... often results in a lack of stability
amino acid sequence,sequence,disulfide bond,structure,modifies,7,6,high,"a disulfide-stabilized scFv, ds-FV57, was ... derived by introduction of cysteines at V(H)44 and V(L)100"
fc region,structure,biological activity,quality_outcome,inhibits,7,5,high,"the chimeric IgG1 mAbs activated Fcgamma receptor, suggesting that cytotoxicity...occurred through ADCC."
oxidation,stress,amino acid oxidation,sequence,oxidizes,7,5,high,force-oxidized antibodies... Peptide mapping LC/MS analysis... showed that the basic peaks resulted from oxidation in a 
binding activity,structure,efficacy,quality_outcome,modifies,7,7,high,1F11 induced early and prolonged control of diabetes; 1A4... shares the property... we observed a similar superior contr
amino acid sequence,sequence,asp isomerization,stability,promotes,7,7,high,"The effect of primary sequence on Asp isomerization was evaluated using pentapeptide models of the MAbs, which included "
charge variants,sequence,charge heterogeneity,quality_outcome,correlates,7,7,high,methods commonly used to probe this charge variation ... approximate relative percentages of lysine variants
glycosylation,sequence,higher-order structure,structure,modifies,7,7,high,The CHO-derived Fc protein (glycosylated) is more compact (smaller hydrodynamic radius) than the E. coli-derived protein
n-glycosylation,sequence,stability,stability,modifies,7,6,high,the deglycosylated PA83 molecule produced by Endo H showed better stability than a PNGase F deglycosylated counterpart
ph,formulation,binding affinity,quality_outcome,modifies,7,6,high,"association is dependent on the pH, dielectric, and ionic strength of the medium."
mutations (engineered antibody sequence changes),sequence,binding affinity,quality_outcome,stabilizes,7,7,high,"G5 ... showed an increased affinity to Cn2, as compared to the parental scFv"
methionine oxidation,sequence,conformational change,structure,induces,7,4,high,increased flexibility ... as well as upon ... methionine oxidation
mechanical stress,stress,aggregation,stability,promotes,7,6,high,An inverse relationship was observed in aggregation trends upon exposure to mechanical and thermal stresses
post-translational modifications,sequence,charge heterogeneity,quality_outcome,modifies,7,7,high,The charge variations of therapeutic monoclonal antibody reveal important information of the post-translational modifica
pharmacokinetics,quality_outcome,immunogenicity,quality_outcome,decreases,7,6,high,"reduction of their immunogenicity depending on the size, suboptimal biodistribution and pharmacokinetics"
net charge,sequence,electrostatic repulsion,structure,modifies,7,7,high,within the pH range 4-8... the silicon oxide surface carried weak negative charges and the net charge on the antibody re
light exposure,stress,photodegradation,stability,degrades,7,5,high,FL-photodegradation requires light exposure
freezing rate,stress,aggregation,stability,modifies,7,5,high,fast-cooled vessels... showed small to no increase in aggregation at any position
ph,formulation,binding activity,quality_outcome,stabilizes,7,7,high,HI-1A4 retained its binding activity at pH 4.0.
ph,formulation,melting temperature,stability,modifies,7,6,high,"At pH 2.1, two low-temperature (Tm=36.9 and 44.1 degrees C) ... transitions are identified"
storage conditions,stress,aggregation,stability,prevents,7,5,high,Soluble protein aggregation ... occurred during storage.
asparagine deamidation,sequence,asp isomerization,sequence,induces,7,7,high,the majority of isoAsp in the mAb is formed as a result of asparagine deamidation.
